2017/09/27 15:08:20.427 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 193")
2017/09/27 15:08:20.626 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 194")
2017/09/27 15:08:20.826 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 195")
2017/09/27 15:08:21.027 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 196")
2017/09/27 15:08:21.227 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 197")
2017/09/27 15:08:21.428 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 198")
2017/09/27 15:08:21.625 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 199")
2017/09/27 15:08:21.826 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 200")
2017/09/27 15:08:22.027 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 201")
2017/09/27 15:08:22.227 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 202")
2017/09/27 15:08:22.443 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 203")
2017/09/27 15:08:22.643 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 204")
2017/09/27 15:08:22.843 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 205")
2017/09/27 15:08:23.044 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 206")
2017/09/27 15:08:23.244 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 207")
2017/09/27 15:08:23.436 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 208")
2017/09/27 15:08:23.638 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 209")
2017/09/27 15:08:23.838 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 210")
2017/09/27 15:08:24.040 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 211")
2017/09/27 15:08:24.239 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 212")
2017/09/27 15:08:24.439 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 213")
2017/09/27 15:08:24.639 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 214")
2017/09/27 15:08:24.839 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 215")
2017/09/27 15:08:25.041 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 216")
2017/09/27 15:08:25.241 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 217")
2017/09/27 15:08:25.439 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 218")
2017/09/27 15:08:25.639 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 219")
2017/09/27 15:08:25.839 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 220")
2017/09/27 15:08:26.039 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 221")
2017/09/27 15:08:26.239 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 222")
2017/09/27 15:08:26.439 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 223")
